"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2024","605.43","607.68","612.25","603.28","1.42M","-0.01%"
"11/26/2024","605.50","600.13","607.19","593.00","2.85M","0.41%"
"11/25/2024","603.03","608.79","611.30","598.83","2.94M","0.04%"
"11/22/2024","602.78","596.22","603.94","594.44","1.73M","1.12%"
"11/21/2024","596.11","586.51","600.70","584.51","2.28M","2.44%"
"11/20/2024","581.93","583.83","587.80","576.62","1.53M","0.09%"
"11/19/2024","581.38","579.66","584.76","575.51","2.22M","-1.12%"
"11/18/2024","587.99","594.71","595.07","584.72","1.86M","-0.94%"
"11/15/2024","593.54","593.36","595.14","587.09","2.01M","0.84%"
"11/14/2024","588.61","600.00","601.53","586.24","1.67M","-0.94%"
"11/13/2024","594.22","594.63","603.55","592.65","1.76M","0.28%"
"11/12/2024","592.59","598.05","602.09","591.47","2.39M","-1.62%"
"11/11/2024","602.34","598.90","607.15","596.16","2.51M","2.22%"
"11/08/2024","589.26","586.42","595.15","581.30","2.71M","1.22%"
"11/07/2024","582.17","590.00","595.00","581.52","4.48M","-2.32%"
"11/06/2024","595.98","567.30","598.60","566.10","8.04M","13.10%"
"11/05/2024","526.96","513.00","527.46","512.60","2.17M","3.03%"
"11/04/2024","511.47","518.00","518.05","510.51","1.80M","-1.52%"
"11/01/2024","519.35","520.00","526.64","517.04","1.63M","0.30%"
"10/31/2024","517.79","522.44","525.00","514.53","2.06M","-1.26%"
"10/30/2024","524.40","523.40","530.78","523.07","1.44M","0.02%"
"10/29/2024","524.28","521.18","527.24","521.00","1.28M","0.13%"
"10/28/2024","523.58","515.40","524.59","514.97","1.69M","2.14%"
"10/25/2024","512.60","528.05","528.80","510.74","1.63M","-2.27%"
"10/24/2024","524.50","519.00","525.00","518.20","2.06M","1.41%"
"10/23/2024","517.20","515.80","520.00","513.40","1.26M","-0.21%"
"10/22/2024","518.30","515.61","519.63","512.94","1.59M","0.10%"
"10/21/2024","517.80","528.00","529.85","517.00","1.75M","-2.02%"
"10/18/2024","528.50","529.39","530.77","526.87","1.78M","-0.09%"
"10/17/2024","529.00","531.24","535.29","528.23","2.12M","-0.16%"
"10/16/2024","529.86","530.00","536.22","525.97","2.65M","1.43%"
"10/15/2024","522.38","538.80","540.51","515.51","4.53M","-0.07%"
"10/14/2024","522.75","517.65","523.07","515.51","2.17M","1.25%"
"10/11/2024","516.30","508.00","517.97","507.80","2.41M","2.50%"
"10/10/2024","503.72","506.31","506.80","499.59","1.31M","-0.29%"
"10/09/2024","505.18","498.20","506.27","495.25","1.70M","1.73%"
"10/08/2024","496.57","497.00","498.34","492.78","1.30M","0.39%"
"10/07/2024","494.62","494.63","499.01","490.79","1.17M","-0.11%"
"10/04/2024","495.16","495.64","496.31","486.00","1.72M","1.86%"
"10/03/2024","486.10","489.93","490.51","484.20","1.29M","-1.20%"
"10/02/2024","491.99","491.17","494.86","487.95","1.45M","0.37%"
"10/01/2024","490.17","494.58","494.58","484.61","1.53M","-1.00%"
"09/30/2024","495.11","494.89","496.52","488.90","1.60M","-0.68%"
"09/27/2024","498.51","498.97","505.40","495.86","1.42M","0.32%"
"09/26/2024","496.92","494.00","498.40","492.48","1.38M","1.18%"
"09/25/2024","491.14","498.50","502.00","490.39","1.76M","-1.38%"
"09/24/2024","498.02","497.59","499.56","494.10","1.04M","0.12%"
"09/23/2024","497.41","498.21","501.40","495.22","953.19K","-0.20%"
"09/20/2024","498.43","500.19","502.05","495.48","4.45M","-1.07%"
"09/19/2024","503.83","494.74","506.41","493.46","3.06M","3.97%"
"09/18/2024","484.58","485.40","492.99","481.77","1.70M","-0.17%"
"09/17/2024","485.39","488.00","489.73","481.80","1.44M","0.05%"
"09/16/2024","485.16","481.43","487.38","479.49","1.50M","1.29%"
"09/13/2024","478.99","475.99","482.10","475.50","1.79M","1.04%"
"09/12/2024","474.06","471.30","474.34","465.40","1.48M","0.61%"
"09/11/2024","471.17","463.98","471.89","457.48","2.43M","0.86%"
"09/10/2024","467.13","489.13","489.20","461.57","3.58M","-4.39%"
"09/09/2024","488.57","485.53","494.28","483.39","1.71M","1.87%"
"09/06/2024","479.61","486.60","495.41","477.06","2.00M","-1.70%"
"09/05/2024","487.88","493.58","495.77","483.07","1.83M","-0.56%"
"09/04/2024","490.64","486.70","496.20","486.70","1.51M","0.65%"
"09/03/2024","487.46","507.47","509.70","485.40","2.37M","-4.47%"
"08/30/2024","510.25","507.83","511.18","505.17","1.84M","0.03%"
"08/29/2024","510.10","506.00","513.24","501.14","1.57M","1.35%"
"08/28/2024","503.33","506.60","508.37","498.47","1.57M","-0.77%"
"08/27/2024","507.26","507.84","511.48","506.59","977.92K","-0.12%"
"08/26/2024","507.87","512.34","513.50","505.32","1.08M","-0.30%"
"08/23/2024","509.42","502.75","512.44","499.85","1.75M","2.34%"
"08/22/2024","497.75","497.00","499.70","494.79","944.02K","0.26%"
"08/21/2024","496.46","499.50","500.78","494.03","917.09K","-0.18%"
"08/20/2024","497.34","503.87","504.16","496.50","2.12M","-1.45%"
"08/19/2024","504.68","505.00","507.78","501.86","1.03M","0.08%"
"08/16/2024","504.26","497.05","504.90","497.00","1.59M","1.05%"
"08/15/2024","499.02","505.00","506.91","498.26","1.73M","0.06%"
"08/14/2024","498.70","492.90","499.35","488.40","1.55M","1.37%"
"08/13/2024","491.94","490.29","493.27","486.47","1.24M","1.33%"
"08/12/2024","485.50","490.26","492.87","483.75","1.84M","-0.97%"
"08/09/2024","490.26","485.02","492.00","482.20","1.62M","0.92%"
"08/08/2024","485.77","477.87","487.73","477.15","1.94M","2.70%"
"08/07/2024","473.01","479.39","488.55","472.57","2.59M","0.59%"
"08/06/2024","470.22","461.01","475.25","457.43","2.21M","2.44%"
"08/05/2024","459.02","447.59","463.18","437.37","4.18M","-2.47%"
"08/02/2024","470.64","491.10","494.46","467.21","6.12M","-5.89%"
"08/01/2024","500.12","510.00","514.02","494.68","4.01M","-1.75%"
"07/31/2024","509.03","504.86","517.26","504.86","2.66M","0.66%"
"07/30/2024","505.67","498.31","509.47","498.30","2.64M","2.63%"
"07/29/2024","492.72","500.42","502.00","491.06","1.60M","-1.26%"
